id,user_id,amount,date,category_id,description,notes,is_deleted,deleted_at,created_at,updated_at
00d9dd65-638f-49e5-886b-47c6893f4728,Saa8S9XSMOf2UlRWvpt48VQTJ0g2,-2000.00,2025-04-26,3eabb153-04b9-4edd-a6d9-5a7610215ffb,Late Dinner,Outing,false,,2025-08-04 09:09:50.070733+00,2025-08-04 09:09:50.070733+00
026c5729-a3f0-443f-a967-c357ca5a9303,Saa8S9XSMOf2UlRWvpt48VQTJ0g2,-1000.00,2025-07-10,a614a64f-f5b0-4bce-b6c9-0e3cf13326ab,Taxi Ride,Work trip,false,,2025-07-31 09:39:46.102104+00,2025-07-31 09:39:46.102104+00
02b53e7c-562c-427c-88d5-2541fb0bdda4,Saa8S9XSMOf2UlRWvpt48VQTJ0g2,-500.00,2025-02-27,d4953743-374b-495b-9134-2f47a5e3ff69,Ai trial,Monthly,false,,2025-08-02 11:48:41.868535+00,2025-08-02 11:48:41.868535+00
070ee87e-830c-4f23-ab8f-480f7b516ee0,Saa8S9XSMOf2UlRWvpt48VQTJ0g2,-2400.00,2025-07-25,46c652d9-3622-4759-96b8-bc0b03e3f794,Goal: New bike,Contribution to New bike goal,false,,2025-08-04 11:00:16.116619+00,2025-08-04 11:00:16.116619+00
08657f12-3159-47b2-b5a6-103242e97993,Saa8S9XSMOf2UlRWvpt48VQTJ0g2,30000.00,2025-04-01,e130010b-79ee-4cea-8a7d-ff79109bf7fb,Monthly salary,Salary,false,,2025-08-04 09:00:03.768417+00,2025-08-04 09:00:03.768417+00
0a1a791b-c82f-4ceb-b97b-691b32bf251c,Saa8S9XSMOf2UlRWvpt48VQTJ0g2,-100.00,2025-02-21,d4953743-374b-495b-9134-2f47a5e3ff69,Stationary,Pen,false,,2025-08-02 11:50:00.250184+00,2025-08-02 11:50:00.250184+00
0d6ba8de-9796-4e5c-a81d-94a6918fc54f,Saa8S9XSMOf2UlRWvpt48VQTJ0g2,-1000.00,2025-01-06,d4953743-374b-495b-9134-2f47a5e3ff69,Winter workshop,Skill building,false,,2025-08-01 16:44:14.570475+00,2025-08-01 16:44:14.570475+00
0db735fd-f819-4d92-bb20-b698e12ef5e5,Saa8S9XSMOf2UlRWvpt48VQTJ0g2,-600.00,2025-01-30,a614a64f-f5b0-4bce-b6c9-0e3cf13326ab,Bike service,Oil change,false,,2025-08-01 16:39:54.441064+00,2025-08-01 16:39:54.441064+00
0e51bd02-f5bb-4926-9b9e-939762d477ef,Saa8S9XSMOf2UlRWvpt48VQTJ0g2,-2000.00,2025-02-10,3eabb153-04b9-4edd-a6d9-5a7610215ffb,Grocery shopping,Monthly essentials,false,,2025-08-04 09:07:05.67658+00,2025-08-04 09:07:05.67658+00
0ec84e4d-42d5-49d2-bec8-74b00d3a8189,Saa8S9XSMOf2UlRWvpt48VQTJ0g2,-1000.00,2025-03-25,46c652d9-3622-4759-96b8-bc0b03e3f794,Goal: Car Down payment,Contribution to Car Down payment goal,false,,2025-08-02 13:35:40.769073+00,2025-08-02 13:35:40.769073+00
0fa9afa0-2183-4a8a-9abe-bf64af586061,Saa8S9XSMOf2UlRWvpt48VQTJ0g2,-1100.00,2025-06-20,3eabb153-04b9-4edd-a6d9-5a7610215ffb,Food Delivery,Late night order,false,,2025-07-31 07:38:13.566782+00,2025-07-31 07:38:13.566782+00
